862,"Words of Radiance (The Stormlight Archive, #2)",4.77
422,"Harry Potter Boxset (Harry Potter, #1-7)",4.74
562,"The Way of Kings (The Stormlight Archive, #1)",4.64
25,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",4.61
780,Calvin and Hobbes,4.61
460,"Clockwork Princess (The Infernal Devices, #3)",4.59
964,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,4.59
307,"The Wise Man's Fear (The Kingkiller Chronicle, #2)",4.57
192,"The Name of the Wind (The Kingkiller Chronicle, #1)",4.55
27,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",4.54
135,"A Storm of Swords (A Song of Ice and Fire, #3)",4.54
267,The Nightingale,4.54
684,"The House of Hades (The Heroes of Olympus, #4)",4.54
18,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",4.53
24,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",4.53
161,"The Return of the King (The Lord of the Rings, #3)",4.51
717,The Hunger Games: Official Illustrated Movie Companion,4.51
175,"The Last Olympian (Percy Jackson and the Olympians, #5)",4.5
769,The Complete Sherlock Holmes,4.5
507,"The Hunger Games Trilogy Boxset (The Hunger Games, #1-3)",4.49
752,"Crown of Midnight (Throne of Glass, #2)",4.49
893,"Fullmetal Alchemist, Vol. 1 (Fullmetal Alchemist, #1)",4.49
466,The Hobbit: Graphic Novel,4.48
504,Redeeming Love,4.48
607,"City of Heavenly Fire (The Mortal Instruments, #6)",4.48
189,"The Lord of the Rings (The Lord of the Rings, #1-3)",4.47
428,"The Mark of Athena (The Heroes of Olympus, #3)",4.47
757,Lonesome Dove,4.47
21,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",4.46
351,"Clockwork Prince (The Infernal Devices, #2)",4.46
603,"The Hero of Ages (Mistborn, #3)",4.46
774,"Cress (The Lunar Chronicles, #3)",4.46
31,The Help,4.45
39,"A Game of Thrones (A Song of Ice and Fire, #1)",4.45
841,"Lover Awakened (Black Dagger Brotherhood, #3)",4.45
998,The Monster at the End of this Book,4.45
2,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",4.44
294,"The Son of Neptune (The Heroes of Olympus, #2)",4.44
976,"Dr. Seuss's Green Eggs and Ham: For Soprano, Boy Soprano, and Orchestra",4.44
250,Wonder,4.43
389,"The Final Empire (Mistborn, #1)",4.43
464,Holy Bible: King James Version,4.43
155,"The Two Towers (The Lord of the Rings, #2)",4.42
488,The Green Mile,4.42
513,The Hiding Place: The Triumphant True Story of Corrie Ten Boom,4.42
543,"Last Sacrifice (Vampire Academy, #6)",4.42
585,"Death Note, Vol. 1: Boredom (Death Note, #1)",4.42
734,Roots: The Saga of an American Family,4.42
958,"The Complete Anne of Green Gables Boxed Set (Anne of Green Gables, #1-8)",4.42
988,"Towers of Midnight (Wheel of Time, #13)",4.42
110,"A Clash of Kings  (A Song of Ice and Fire, #2)",4.4
144,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",4.4
983,Between the World and Me,4.4
141,The Martian,4.39
159,"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",4.39
85,The Giving Tree,4.38
554,"Voyager (Outlander, #3)",4.38
23,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",4.37
337,The Ultimate Hitchhiker's Guide to the Galaxy,4.37
394,"Shadow Kiss (Vampire Academy, #3)",4.37
418,"Spirit Bound (Vampire Academy, #5)",4.37
512,The Complete Stories and Poems,4.37
840,"Shōgun (Asian Saga, #1)",4.37
47,The Book Thief,4.36
274,The Godfather,4.36
364,How the Grinch Stole Christmas!,4.36
735,Batman: The Killing Joke,4.36
810,"Ouran High School Host Club, Vol. 1 (Ouran High School Host Club, #1)",4.36
863,Guess How Much I Love You,4.36
987,A Monster Calls,4.36
163,"The Lost Hero (The Heroes of Olympus, #1)",4.35
191,Watchmen,4.35
225,East of Eden,4.35
391,The Lorax,4.35
419,"Blood Promise (Vampire Academy, #4)",4.35
459,A Man Called Ove,4.35
490,"Maus I: A Survivor's Tale: My Father Bleeds History (Maus, #1)",4.35
565,"The Well of Ascension (Mistborn, #2)",4.35
835,"Naruto, Vol. 01: The Tests of the Ninja (Naruto, #1)",4.35
889,"Lover Eternal (Black Dagger Brotherhood, #2)",4.35
1,"The Hunger Games (The Hunger Games, #1)",4.34
19,"The Fellowship of the Ring (The Lord of the Rings, #1)",4.34
67,A Thousand Splendid Suns,4.34
134,"City of Glass (The Mortal Instruments, #3)",4.34
168,The Stand,4.34
278,A Light in the Attic,4.34
358,"Oh, The Places You'll Go!",4.34
444,"Winnie-the-Pooh (Winnie-the-Pooh, #1)",4.34
539,"Hopeless (Hopeless, #1)",4.34
608,Love You Forever,4.34
712,"Drums of Autumn (Outlander, #4)",4.34
739,Different Seasons,4.34
762,Schindler's List,4.34
779,A Fine Balance,4.34
960,"The Gathering Storm (Wheel of Time, #12)",4.34
183,"Clockwork Angel (The Infernal Devices, #1)",4.33
214,"The Titan's Curse (Percy Jackson and the Olympians, #3)",4.33
334,"Reflected in You (Crossfire, #2)",4.33
472,Man's Search for Meaning,4.33
740,"The Little House Collection (Little House, #1-9)",4.33
786,Falling Up,4.33
592,The Master and Margarita,4.32
610,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,4.32
852,When Breath Becomes Air,4.32
894,"Guards! Guards! (Discworld, #8)",4.32
143,All the Light We Cannot See,4.31
188,"A Dance with Dragons (A Song of Ice and Fire, #5)",4.31
215,Ready Player One,4.31
463,"Dragonfly in Amber (Outlander, #2)",4.31
493,Mere Christianity,4.31
691,On Writing: A Memoir of the Craft,4.31
792,The Complete Grimm's Fairy Tales,4.31
